"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[boxer]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_random_dog",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[dvornyaga]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_image[english]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[1]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[8]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[4]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_breed_images[.exe]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[6]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_image[ibizan]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_image[afghan]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[elkhound]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[3]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_breed_images[.md]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[2]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[5]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[entlebucher]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[whippet]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[african]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_breed_images[.MD]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[7]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[shiba]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_few_sub_breed_random_images[9]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_image[blood]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_image[walker]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_image[basset]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_images[spaniel]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_breed_images[.txt]",""
"broken","Thu Aug 29 09:34:53 GMT 2024","Thu Aug 29 09:34:53 GMT 2024","0","","test_dog_api","","","","test_get_random_breed_image[plott]",""
